region,nodes,total,run_idfeature_stor,run_tracksingle_stor,run_gettracks_stor,run_trackstats_stor,run_identifymcs_stor,run_matchpf_stor,run_robustmcs_stor,run_mapfeature_stor,run_speed_stor,regret_vs_global_best
0,16,32.5084576855161,beegfs,ssd,beegfs,beegfs,ssd,beegfs,ssd,beegfs,beegfs,28.121130253014357
0,16,32.523782645788174,beegfs,beegfs,ssd,beegfs,ssd,beegfs,ssd,beegfs,beegfs,28.136455213286432
0,8,32.600938230795265,beegfs,beegfs,beegfs,ssd,beegfs,beegfs,beegfs,beegfs,beegfs,28.213610798293523
0,8,32.63590640407973,beegfs,beegfs,beegfs,ssd,beegfs,beegfs,tmpfs,beegfs,beegfs,28.24857897157799
0,8,32.6393393129111,beegfs,beegfs,beegfs,ssd,beegfs,tmpfs,beegfs,beegfs,beegfs,28.252011880409356
0,32,32.6837735698649,beegfs,ssd,beegfs,beegfs,ssd,beegfs,ssd,beegfs,beegfs,28.296446137363155
0,32,32.71911943808642,beegfs,beegfs,ssd,beegfs,ssd,beegfs,ssd,beegfs,beegfs,28.33179200558468
0,8,32.8867180787727,beegfs,ssd,beegfs,ssd,beegfs,beegfs,beegfs,beegfs,beegfs,28.49939064627096
0,8,32.92168625205717,beegfs,ssd,beegfs,ssd,beegfs,beegfs,tmpfs,beegfs,beegfs,28.53435881955543
0,8,32.925119160888535,beegfs,ssd,beegfs,ssd,beegfs,tmpfs,beegfs,beegfs,beegfs,28.537791728386793
0,8,32.942208836540864,beegfs,beegfs,beegfs,ssd,beegfs,beegfs,ssd,beegfs,beegfs,28.554881404039122
0,8,32.95319298002933,beegfs,beegfs,beegfs,ssd,beegfs,ssd,beegfs,beegfs,beegfs,28.565865547527586
0,8,32.96125026069436,beegfs,ssd,beegfs,beegfs,beegfs,beegfs,beegfs,beegfs,beegfs,28.573922828192615
0,8,32.996218433978825,beegfs,ssd,beegfs,beegfs,beegfs,beegfs,tmpfs,beegfs,beegfs,28.608891001477083
0,8,32.99965134281018,beegfs,ssd,beegfs,beegfs,beegfs,tmpfs,beegfs,beegfs,beegfs,28.61232391030844
0,8,33.009094029484764,beegfs,beegfs,ssd,beegfs,beegfs,beegfs,beegfs,beegfs,beegfs,28.621766596983022
0,8,33.027821119271145,beegfs,ssd,beegfs,beegfs,tmpfs,beegfs,beegfs,beegfs,beegfs,28.640493686769403
0,8,33.04406220276923,beegfs,beegfs,ssd,beegfs,beegfs,beegfs,tmpfs,beegfs,beegfs,28.65673477026749
0,8,33.0474951116006,beegfs,beegfs,ssd,beegfs,beegfs,tmpfs,beegfs,beegfs,beegfs,28.660167679098855
